127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/calendar.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/underscore/underscore-min.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/bootstrap-calendar/js/calendar.min.js, HTTP/1.1, 304, 0.000861
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000312
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001449
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/clipboard/dist/clipboard.min.js, HTTP/1.1, 304, 0.001375
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/moment/moment.js, HTTP/1.1, 304, 0.001008
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/share.js, HTTP/1.1, 304, 0.000385
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/clipboard/clippy.svg, HTTP/1.1, 304, 0.000415
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.022145
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month.html, HTTP/1.1, 304, 0.000319
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month-day.html, HTTP/1.1, 304, 0.000249
127.0.0.1, 2016-08-31 18:33:18, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/events-list.html, HTTP/1.1, 304, 0.000482
127.0.0.1, 2016-08-31 18:33:18, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 304, 0.000438
127.0.0.1, 2016-08-31 18:33:18, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 304, 0.000676
127.0.0.1, 2016-08-31 18:33:18, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 304, 0.000447
127.0.0.1, 2016-08-31 18:33:20, GET, /CalenZone/default/myEvents, HTTP/1.1, 200, 0.035780
127.0.0.1, 2016-08-31 18:33:23, GET, /CalenZone/default/index, HTTP/1.1, 303, 0.021327
127.0.0.1, 2016-08-31 18:33:23, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.025562
127.0.0.1, 2016-08-31 18:33:23, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.027422
127.0.0.1, 2016-08-31 18:33:25, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.018412
127.0.0.1, 2016-08-31 18:33:26, GET, /CalenZone/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000652
127.0.0.1, 2016-08-31 18:33:27, GET, /CalenZone/static/bower_components/bootstrap-calendar/img/tick.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2016-08-31 18:33:27, GET, /CalenZone/static/bower_components/bootstrap-calendar/img/dark_wood.png, HTTP/1.1, 200, 0.000498
127.0.0.1, 2016-08-31 18:33:29, GET, /CalenZone/default/showDes.html/1, HTTP/1.1, 200, 0.030908
127.0.0.1, 2016-08-31 18:33:35, GET, /CalenZone/default/index, HTTP/1.1, 303, 0.029150
127.0.0.1, 2016-08-31 18:33:35, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.022836
127.0.0.1, 2016-08-31 18:33:35, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.021315
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/default/createEvent, HTTP/1.1, 303, 0.025695
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/default/user/login, HTTP/1.1, 200, 0.036563
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000433
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000425
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2016-08-31 18:34:59, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 200, 0.000293
